中央処理装置,ちゅうおうしょりそうち,central processing unit (CPU),<ruby><strong>中央処理装置</strong><rt>ちゅうおうしょりそうち</rt></ruby>は、コンピュータの<ruby>心臓部<rt>しんぞうぶ</rt></ruby>ともいえる<ruby>部分<rt>ぶぶん</rt></ruby>だ。,The central processing unit is considered the heart of the computer.
半導体,はんどうたい,semiconductor,<ruby><strong>半導体</strong><rt>はんどうたい</rt></ruby>は、<ruby>電子<rt>でんし</rt></ruby><ruby>機器<rt>きき</rt></ruby>の<ruby>基盤<rt>きばん</rt></ruby>となる<ruby>技術<rt>ぎじゅつ</rt></ruby>だ。,Semiconductors are the foundational technology for electronic devices.
メモリ,メモリ,memory,コンピュータの<strong>メモリ</strong>は、データを<ruby>一時的<rt>いちじてき</rt></ruby>に<ruby>保存<rt>ほぞん</rt></ruby>するために<ruby>使<rt>つか</rt></ruby>われる。,Computer memory is used to temporarily store data.
回路基板,かいろきばん,circuit board,<ruby><strong>回路基板</strong><rt>かいろきばん</rt></ruby>は、<ruby>電子<rt>でんし</rt></ruby><ruby>部品<rt>ぶひん</rt></ruby>を<ruby>支<rt>ささ</rt></ruby>える<ruby>役割<rt>やくわり</rt></ruby>を<ruby>果<rt>は</rt></ruby>たす。,Circuit boards play a role in supporting electronic components.
グラフィックス処理装置,グラフィックスしょりそうち,graphics processing unit (GPU),グラフィックス<ruby><strong>処理装置</strong><rt>しょりそうち</rt></ruby>は、<ruby>画像<rt>がぞう</rt></ruby>を<ruby>高速<rt>こうそく</rt></ruby>に<ruby>処理<rt>しょり</rt></ruby>するために<ruby>必要<rt>ひつよう</rt></ruby>だ。,Graphics processing units are necessary for processing images quickly.
トランジスタ,トランジスタ,transistor,<strong>トランジスタ</strong>は、<ruby>電子回路<rt>でんしかいろ</rt></ruby>の<ruby>基本<rt>きほん</rt></ruby><ruby>部品<rt>ぶひん</rt></ruby>である。,Transistors are fundamental components of electronic circuits.
ハードディスクドライブ,ハードディスクドライブ,hard disk drive (HDD),<strong>ハードディスクドライブ</strong>は、<ruby>大量<rt>たいりょう</rt></ruby>のデータを<ruby>長期間<rt>ちょうきかん</rt></ruby><ruby>保存<rt>ほぞん</rt></ruby>するのに<ruby>使<rt>つか</rt></ruby>われる。,Hard disk drives are used to store large amounts of data for a long period.
電源供給装置,でんげんきょうきゅうそうち,power supply unit (PSU),<ruby><strong>電源供給装置</strong><rt>でんげんきょうきゅうそうち</rt></ruby>は、コンピュータに<ruby>必要<rt>ひつよう</rt></ruby>な<ruby>電力<rt>でんりょく</rt></ruby>を<ruby>供給<rt>きょうきゅう</rt></ruby>する。,The power supply unit provides the necessary power to the computer.
冷却ファン,れいきゃくファン,cooling fan,<ruby><strong>冷却</strong><rt>れいきゃく</rt></ruby><strong>ファン</strong>は、<ruby>過熱<rt>かねつ</rt></ruby>を<ruby>防<rt>ふせ</rt></ruby>ぐために<ruby>重要<rt>じゅうよう</rt></ruby>だ。,Cooling fans are important to prevent overheating.
集積回路,しゅうせきかいろ,integrated circuit,<ruby><strong>集積回路</strong><rt>しゅうせきかいろ</rt></ruby>は、<ruby>複数<rt>ふくすう</rt></ruby>の<ruby>電子<rt>でんし</rt></ruby><ruby>部品<rt>ぶひん</rt></ruby>を<ruby>一体化<rt>いったいか</rt></ruby>したものだ。,Integrated circuits are combinations of multiple electronic components into one.
オペレーションシステム,オペレーションシステム,operating system (OS),<strong>オペレーションシステム</strong>は、コンピュータの<ruby>基盤<rt>きばん</rt></ruby>となるソフトウェアだ。,The operating system is the foundational software of a computer.
ランダムアクセスメモリ,ランダムアクセスメモリ,random access memory (RAM),<strong>ランダムアクセスメモリ</strong>は、データを<ruby>一時的<rt>いちじてき</rt></ruby>に<ruby>保存<rt>ほぞん</rt></ruby>するために<ruby>使<rt>つか</rt></ruby>われる。,Random access memory is used to temporarily store data.
ソリッドステートドライブ,ソリッドステートドライブ,solid-state drive (SSD),<strong>ソリッドステートドライブ</strong>は、<ruby>高速<rt>こうそく</rt></ruby>なデータ<ruby>転送<rt>てんそう</rt></ruby>を<ruby>可能<rt>かのう</rt></ruby>にする。,Solid-state drives enable fast data transfer.
マザーボード,マザーボード,motherboard,<strong>マザーボード</strong>は、すべてのコンポーネントを<ruby>接続<rt>せつぞく</rt></ruby>する<ruby>役割<rt>やくわり</rt></ruby>を<ruby>果<rt>は</rt></ruby>たす。,The motherboard connects all components together.
インターフェイスカード,インターフェイスカード,interface card,<strong>インターフェイスカード</strong>は、<ruby>拡張<rt>かくちょう</rt></ruby>スロットに<ruby>差<rt>さ</rt></ruby>し<ruby>込<rt>こ</rt></ruby>んで<ruby>機能<rt>きのう</rt></ruby>を<ruby>追加<rt>ついか</rt></ruby>するために<ruby>使<rt>つか</rt></ruby>われる。,Interface cards are used to add functionality by inserting them into expansion slots.
ヒートシンク,ヒートシンク,heat sink,<strong>ヒートシンク</strong>は、<ruby>熱<rt>ねつ</rt></ruby>を<ruby>効率<rt>こうりつ</rt></ruby>的に<ruby>放散<rt>ほうさん</rt></ruby>するために<ruby>必要<rt>ひつよう</rt></ruby>だ。,Heat sinks are necessary to efficiently dissipate heat.
バス,バス,bus,コンピュータの<strong>バス</strong>は、データを<ruby>転送<rt>てんそう</rt></ruby>する<ruby>経路<rt>けいろ</rt></ruby>を<ruby>提供<rt>ていきょう</rt></ruby>する。,The bus provides a pathway for data transfer in a computer.
サウンドカード,サウンドカード,sound card,<strong>サウンドカード</strong>は、<ruby>音声<rt>おんせい</rt></ruby>を<ruby>処理<rt>しょり</rt></ruby>するために<ruby>使<rt>つか</rt></ruby>われる<ruby>拡張<rt>かくちょう</rt></ruby>カードだ。,Sound cards are expansion cards used for processing audio.
電源ケーブル,でんげんケーブル,power cable,<ruby><strong>電源</strong></ruby>ケーブルは、<ruby>電力<rt>でんりょく</rt></ruby>を<ruby>供給<rt>きょうきゅう</rt></ruby>するために<ruby>必要<rt>ひつよう</rt></ruby>だ。,Power cables are necessary to supply electricity.
拡張スロット,かくちょうスロット,expansion slot,<ruby><strong>拡張</strong><rt>かくちょう</rt></ruby>スロットは、<ruby>新<rt>あたら</rt></ruby>しい<ruby>機能<rt>きのう</rt></ruby>を<ruby>追加<rt>ついか</rt></ruby>するためのポートだ。,Expansion slots are ports for adding new functionality.
入力装置,にゅうりょくそうち,input device,<ruby><strong>入力装置</strong><rt>にゅうりょくそうち</rt></ruby>は、データや<ruby>指示<rt>しじ</rt></ruby>をコンピュータに<ruby>与<rt>あた</rt></ruby>える<ruby>役割<rt>やくわり</rt></ruby>を<ruby>果<rt>は</rt></ruby>たす。,Input devices serve the role of providing data and instructions to a computer.
出力装置,しゅつりょくそうち,output device,<ruby><strong>出力装置</strong><rt>しゅつりょくそうち</rt></ruby>は、コンピュータの<ruby>処理結果<rt>しょりけっか</rt></ruby>を<ruby>表示<rt>ひょうじ</rt></ruby>するために<ruby>使<rt>つか</rt></ruby>われる。,Output devices are used to display the results of computer processing.
光学ドライブ,こうがくドライブ,optical drive,<ruby><strong>光学</strong><rt>こうがく</rt></ruby>ドライブは、<ruby>CD<rt>シーディー</rt></ruby>や<ruby>DVD<rt>ディーブイディー</rt></ruby>の<ruby>再生<rt>さいせい</rt></ruby>に<ruby>使<rt>つか</rt></ruby>われる。,Optical drives are used for playing CDs and DVDs.
キーボード,キーボード,keyboard,<strong>キーボード</strong>は、<ruby>文字<rt>もじ</rt></ruby>や<ruby>数字<rt>すうじ</rt></ruby>を<ruby>入力<rt>にゅうりょく</rt></ruby>するための<ruby>基本<rt>きほん</rt></ruby><ruby>装置<rt>そうち</rt></ruby>だ。,Keyboards are fundamental devices for entering letters and numbers.
マウス,マウス,mouse,<strong>マウス</strong>は、<ruby>画面<rt>がめん</rt></ruby>上<ruby>じょう<rt></rt></ruby>のカーソルを<ruby>操作<rt>そうさ</rt></ruby>するための<ruby>装置<rt>そうち</rt></ruby>だ。,A mouse is a device used to control the cursor on the screen.
液晶ディスプレイ,えきしょうディスプレイ,liquid crystal display (LCD),<ruby><strong>液晶</strong><rt>えきしょう</rt></ruby>ディスプレイは、<ruby>薄型<rt>うすがた</rt></ruby>で<ruby>省電力<rt>しょうでんりょく</rt></ruby>な<ruby>表示<rt>ひょうじ</rt></ruby><ruby>装置<rt>そうち</rt></ruby>だ。,Liquid crystal displays are thin and energy-efficient display devices.
タッチパッド,タッチパッド,touchpad,<strong>タッチパッド</strong>は、ノートパソコンで<ruby>指<rt>ゆび</rt></ruby>を<ruby>使<rt>つか</rt></ruby>って<ruby>操作<rt>そうさ</rt></ruby>するための<ruby>装置<rt>そうち</rt></ruby>だ。,Touchpads are devices used for controlling a laptop with your fingers.
プリンター,プリンター,printer,<strong>プリンター</strong>は、デジタルデータを<ruby>紙<rt>かみ</rt></ruby>に<ruby>印刷<rt>いんさつ</rt></ruby>するために<ruby>使<rt>つか</rt></ruby>われる。,Printers are used to print digital data onto paper.
スキャナー,スキャナー,scanner,<strong>スキャナー</strong>は、<ruby>物理的<rt>ぶつりてき</rt></ruby>な<ruby>文書<rt>ぶんしょ</rt></ruby>をデジタルデータに<ruby>変換<rt>へんかん</rt></ruby>する<ruby>装置<rt>そうち</rt></ruby>だ。,Scanners are devices that convert physical documents into digital data.
プロセッサ,プロセッサ,processor,<strong>プロセッサ</strong>は、<ruby>計算<rt>けいさん</rt></ruby>や<ruby>命令<rt>めいれい</rt></ruby>の<ruby>実行<rt>じっこう</rt></ruby>を<ruby>担当<rt>たんとう</rt></ruby>する<ruby>部品<rt>ぶひん</rt></ruby>だ。,Processors are components responsible for executing calculations and instructions.
メモリ帯域幅,メモリたいいきはば,memory bandwidth,メモリ<ruby><strong>帯域幅</strong><rt>たいいきはば</rt></ruby>は、データが<ruby>毎秒<rt>まいびょう</rt></ruby>に<ruby>転送<rt>てんそう</rt></ruby>される<ruby>量<rt>りょう</rt></ruby>を<ruby>示<rt>しめ</rt></ruby>す。,Memory bandwidth indicates the amount of data transferred per second.
クロック周波数,クロックしゅうはすう,clock frequency,クロック<ruby><strong>周波数</strong><rt>しゅうはすう</rt></ruby>は、プロセッサの<ruby>動作速度<rt>どうさそくど</rt></ruby>を<ruby>決<rt>き</rt></ruby>める<ruby>要素<rt>ようそ</rt></ruby>だ。,Clock frequency is a factor that determines the operating speed of a processor.
データバス,データバス,data bus,<strong>データバス</strong>は、コンピュータ<ruby>内部<rt>ないぶ</rt></ruby>でデータを<ruby>転送<rt>てんそう</rt></ruby>するための<ruby>経路<rt>けいろ</rt></ruby>だ。,The data bus is a pathway for transferring data within a computer.
レジスタ,レジスタ,resistor,<strong>レジスタ</strong>は、<ruby>電流<rt>でんりゅう</rt></ruby>の<ruby>流<rt>なが</rt></ruby>れを<ruby>制御<rt>せいぎょ</rt></ruby>する<ruby>電子部品<rt>でんしぶひん</rt></ruby>だ。,Resistors are electronic components that control the flow of electric current.
コンデンサ,コンデンサ,capacitor,<strong>コンデンサ</strong>は、<ruby>電荷<rt>でんか</rt></ruby>を<ruby>蓄<rt>たくわ</rt></ruby>える<ruby>機能<rt>きのう</rt></ruby>を<ruby>持<rt>も</rt></ruby>つ<ruby>部品<rt>ぶひん</rt></ruby>だ。,Capacitors are components that have the function of storing electric charge.
インダクタ,インダクタ,inductor,<strong>インダクタ</strong>は、<ruby>磁界<rt>じかい</rt></ruby>を<ruby>作<rt>つく</rt></ruby>り<ruby>出<rt>だ</rt></ruby>す<ruby>電子部品<rt>でんしぶひん</rt></ruby>だ。,Inductors are electronic components that generate a magnetic field.
周波数,しゅうはすう,frequency,<ruby><strong>周波数</strong></ruby>は、<ruby>電気<rt>でんき</rt></ruby>や<ruby>音<rt>おん</rt></ruby>の<ruby>波<rt>なみ</rt></ruby>が<ruby>発生<rt>はっせい</rt></ruby>する<ruby>回数<rt>かいすう</rt></ruby>を<ruby>表<rt>あらわ</rt></ruby>す。,Frequency represents the number of times an electrical or sound wave occurs.
電圧,でんあつ,voltage,<ruby><strong>電圧</strong></ruby>は、<ruby>電流<rt>でんりゅう</rt></ruby>を<ruby>流<rt>なが</rt></ruby>す<ruby>力<rt>ちから</rt></ruby>を<ruby>表<rt>あらわ</rt></ruby>す<ruby>指標<rt>しひょう</rt></ruby>だ。,Voltage is an indicator of the force that drives an electric current.
電流,でんりゅう,current,<ruby><strong>電流</strong></ruby>は、<ruby>電気<rt>でんき</rt></ruby>が<ruby>流<rt>なが</rt></ruby>れる<ruby>量<rt>りょう</rt></ruby>を<ruby>測<rt>はか</rt></ruby>る<ruby>指標<rt>しひょう</rt></ruby>だ。,Current is a measure of the amount of electricity flowing.
抵抗,ていこう,resistance,<ruby><strong>抵抗</strong></ruby>は、<ruby>電流<rt>でんりゅう</rt></ruby>の<ruby>流<rt>なが</rt></ruby>れに<ruby>反<rt>はん</rt></ruby>する<ruby>力<rt>ちから</rt></ruby>である。,Resistance is the force that opposes the flow of electric current.
アナログ回路,アナログかいろ,analog circuit,アナログ<ruby><strong>回路</strong><rt>かいろ</rt></ruby>は、<ruby>連続的<rt>れんぞくてき</rt></ruby>な<ruby>信号<rt>しんごう</rt></ruby>を<ruby>処理<rt>しょり</rt></ruby>する<ruby>電子回路<rt>でんしかいろ</rt></ruby>だ。,Analog circuits are electronic circuits that process continuous signals.
デジタル回路,デジタルかいろ,digital circuit,デジタル<ruby><strong>回路</strong><rt>かいろ</rt></ruby>は、<ruby>離散的<rt>りさんてき</rt></ruby>な<ruby>信号<rt>しんごう</rt></ruby>を<ruby>扱<rt>あつか</rt></ruby>う<ruby>技術<rt>ぎじゅつ</rt></ruby>である。,Digital circuits are technology that handles discrete signals.
インピーダンス,インピーダンス,impedance,<strong>インピーダンス</strong>は、<ruby>交流回路<rt>こうりゅうかいろ</rt></ruby>における<ruby>抵抗<rt>ていこう</rt></ruby>を<ruby>表<rt>あらわ</rt></ruby>す<ruby>指標<rt>しひょう</rt></ruby>だ。,Impedance is a measure of resistance in AC circuits.
フィードバック,フィードバック,feedback,<strong>フィードバック</strong>は、<ruby>出力<rt>しゅつりょく</rt></ruby>を<ruby>入力<rt>にゅうりょく</rt></ruby>に<ruby>戻<rt>もど</rt></ruby>して、<ruby>制御<rt>せいぎょ</rt></ruby>を<ruby>行<rt>おこな</rt></ruby>う<ruby>技術<rt>ぎじゅつ</rt></ruby>だ。,Feedback is a technology that controls by returning output to input.
トランスフォーマー,トランスフォーマー,transformer,<strong>トランスフォーマー</strong>は、<ruby>電圧<rt>でんあつ</rt></ruby>を<ruby>変換<rt>へんかん</rt></ruby>するための<ruby>装置<rt>そうち</rt></ruby>だ。,Transformers are devices used to convert voltage.
オームの法則,オームのほうそく,Ohm's law,オームの<ruby><strong>法則</strong><rt>ほうそく</rt></ruby>は、<ruby>電圧<rt>でんあつ</rt></ruby>、<ruby>電流<rt>でんりゅう</rt></ruby>、<ruby>抵抗<rt>ていこう</rt></ruby>の<ruby>関係<rt>かんけい</rt></ruby>を<ruby>示<rt>しめ</rt></ruby>す<ruby>基本法則<rt>きほんほうそく</rt></ruby>だ。,"Ohm's law is a fundamental law that shows the relationship between voltage, current, and resistance."
スイッチング電源,スイッチングでんげん,switching power supply,スイッチング<ruby><strong>電源</strong><rt>でんげん</rt></ruby>は、<ruby>効率<rt>こうりつ</rt></ruby>的に<ruby>電力<rt>でんりょく</rt></ruby>を<ruby>変換<rt>へんかん</rt></ruby>する<ruby>装置<rt>そうち</rt></ruby>だ。,Switching power supplies are devices that efficiently convert power.
バイポーラトランジスタ,バイポーラトランジスタ,bipolar transistor,<strong>バイポーラトランジスタ</strong>は、<ruby>電流<rt>でんりゅう</rt></ruby>を<ruby>増幅<rt>ぞうふく</rt></ruby>するための<ruby>部品<rt>ぶひん</rt></ruby>だ。,Bipolar transistors are components used to amplify current.
モスフェット,モスフェット,MOSFET,モスフェット(<ruby>金属酸化膜半導体電界効果<rt>きんぞくさんかまくはんどうたいでんかいこうか</rt></ruby>トランジスタ)は、<ruby>電圧<rt>でんあつ</rt></ruby>で<ruby>電流<rt>でんりゅう</rt></ruby>を<ruby>制御<rt>せいぎょ</rt></ruby>する<ruby>半導体<rt>はんどうたい</rt></ruby>だ。,MOSFETs are semiconductors that control current with voltage.
抵抗率,ていこうりつ,resistivity,<ruby><strong>抵抗率</strong><rt>ていこうりつ</rt></ruby>は、<ruby>物質<rt>ぶっしつ</rt></ruby>の<ruby>電気抵抗<rt>でんきていこう</rt></ruby>に<ruby>関<rt>かん</rt></ruby>する<ruby>特性<rt>とくせい</rt></ruby>を<ruby>示<rt>しめ</rt></ruby>す。,Resistivity indicates the electrical resistance characteristics of a material.
電源装置,でんげんそうち,power supply,<ruby><strong>電源装置</strong><rt>でんげんそうち</rt></ruby>は、<ruby>電子回路<rt>でんしかいろ</rt></ruby>に<ruby>必要<rt>ひつよう</rt></ruby>な<ruby>電力<rt>でんりょく</rt></ruby>を<ruby>供給<rt>きょうきゅう</rt></ruby>する。,Power supplies provide the necessary power to electronic circuits.
