する,する,"do, make",<ruby>友達<rt>ともだち</rt></ruby>と<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>宿題<rt>しゅくだい</rt></ruby>をした。,I did my homework with a friend.
言う,いう,"say, tell",<ruby>上司<rt>じょうし</rt></ruby>が「<ruby>一杯<rt>いっぱい</rt></ruby>、<ruby>飲<rt>の</rt></ruby>もう。」と言った。,"My boss said: ""Let's have a drink."""
事,こと,"thing, incident",そんな<ruby>事<rt>こと</rt></ruby>をしてはいけません。,Do not do such a thing.
無い,ない,to not be,ここには何も<ruby>無<rt>な</rt></ruby>い。,There's nothing here.
居る,いる,be present,<ruby>今日<rt>きょう</rt></ruby>は<ruby>一日中<rt>いちにちじゅう</rt></ruby><ruby>家<rt>いえ</rt></ruby>に<ruby>居<rt>い</rt></ruby>ました。,I was at home all day today.
なる,なる,become,<ruby>彼<rt>かれ</rt></ruby>は<ruby>医者<rt>いしゃ</rt></ruby>になりました。,He became a doctor.
有る,ある,"exist, possess",<ruby>私<rt>わたし</rt></ruby>の<ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>書類<rt>しょるい</rt></ruby>がたくさん<ruby>有<rt>あ</rt></ruby>ります。,There are a lot of documents on my desk.
それ,それ,"that, that one",それはとってもいい<ruby>話<rt>はなし</rt></ruby>だ。,That's a really nice story.
よう,よう,"way, like, kind",<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>眠<rt>ねむ</rt></ruby>いようです。,It looks like she's sleepy.
そう,そう,"in such manner, that way",<ruby>私<rt>わたし</rt></ruby>もそう<ruby>思<rt>おも</rt></ruby>います。,That's what I think too.
俺,おれ,"I, me",<ruby>俺<rt>おれ</rt></ruby>の<ruby>頼<rt>たの</rt></ruby>みを聞いてくれ。,Do me a favor.
来る,くる,come,<ruby>彼<rt>かれ</rt></ruby>は<ruby>昼過<rt>ひるす</rt></ruby>ぎに来ます。,He'll come after lunch.
良い,よい,"good, suitable, preferable",<ruby>彼<rt>かれ</rt></ruby>は<ruby>良<rt>よ</rt></ruby>い<ruby>所<rt>ところ</rt></ruby>だけを<ruby>強調<rt>きょうちょう</rt></ruby>した。,He only emphasized the strong points.
何,なに,"what, which",<ruby>夕食<rt>ゆうしょく</rt></ruby>には何を<ruby>食<rt>た</rt></ruby>べたいですか。,What would you like for supper?
思う,おもう,think,<ruby>私<rt>わたし</rt></ruby>もそう<ruby>思<rt>おも</rt></ruby>います。,I think so too.
行く,いく,go,<ruby>日曜日<rt>にちようび</rt></ruby>は<ruby>図書館<rt>としょかん</rt></ruby>に行きます。,I go to the library on Sundays.
見る,みる,"see, look at",<ruby>私<rt>わたし</rt></ruby>は<ruby>絵<rt>え</rt></ruby>を見るのが好きです。,I like looking at pictures.
