貯金,ちょきん,Savings,<ruby>彼<rt>かれ</rt></ruby>は<ruby>毎月<rt>まいつき</rt></ruby>の<ruby>給料<rt>きゅうりょう</rt></ruby>の<ruby>一部<rt>いちぶ</rt></ruby>を<ruby><strong>貯金</strong><rt>ちょきん</rt></ruby>に<ruby>回<rt>まわ</rt></ruby>しています。,He allocates a portion of his monthly salary to savings.
投資,とうし,Investment,<ruby><strong>投資</strong><rt>とうし</rt></ruby><ruby>先<rt>さき</rt></ruby>を<ruby>慎重<rt>しんちょう</rt></ruby>に<ruby>選<rt>えら</rt></ruby>ぶことが<ruby>大切<rt>たいせつ</rt></ruby>です。,It's important to carefully choose your investment destinations.
株式,かぶしき,Stock,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby><strong>株式</strong><rt>かぶしき</rt></ruby><ruby>市場<rt>しじょう</rt></ruby>での<ruby>取引<rt>とりひき</rt></ruby>に<ruby>興味<rt>きょうみ</rt></ruby>があります。,She is interested in trading in the stock market.
利益,りえき,Profit,<ruby>企業<rt>きぎょう</rt></ruby>は<ruby>年間<rt>ねんかん</rt></ruby><ruby><strong>利益</strong><rt>りえき</rt></ruby>を<ruby>増加<rt>ぞうか</rt></ruby>させることを<ruby>目指<rt>めざ</rt></ruby>しています。,The company aims to increase its annual profit.
資産,しさん,Assets,<ruby>彼<rt>かれ</rt></ruby>は<ruby>不動産<rt>ふどうさん</rt></ruby>を<ruby><strong>資産</strong><rt>しさん</rt></ruby>として<ruby>保有<rt>ほゆう</rt></ruby>しています。,He holds real estate as assets.
負債,ふさい,Liabilities,<ruby>企業<rt>きぎょう</rt></ruby>は<ruby><strong>負債</strong><rt>ふさい</rt></ruby>を<ruby>減<rt>へ</rt></ruby>らすためにリストラを<ruby>行<rt>おこな</rt></ruby>いました。,The company restructured to reduce liabilities.
投資信託,とうししんたく,Mutual Fund,<ruby><strong>投資信託</strong><rt>とうししんたく</rt></ruby>はリスク<ruby>分散<rt>ぶんさん</rt></ruby>の<ruby>良<rt>よ</rt></ruby>い<ruby>方法<rt>ほうほう</rt></ruby>です。,Mutual funds are a good way to diversify risk.
財務諸表,ざいむしょひょう,Financial Statement,<ruby>会社<rt>かいしゃ</rt></ruby>の<ruby><strong>財務諸表</strong><rt>ざいむしょひょう</rt></ruby>を<ruby>分析<rt>ぶんせき</rt></ruby>するのは<ruby>重要<rt>じゅうよう</rt></ruby>です。,Analyzing the company's financial statement is important.
資産運用,しさんうんよう,Asset Management,<ruby><strong>資産運用</strong><rt>しさんうんよう</rt></ruby>の<ruby>知識<rt>ちしき</rt></ruby>を<ruby>持<rt>も</rt></ruby>つことは<ruby>重要<rt>じゅうよう</rt></ruby>です。,Having knowledge of asset management is important.
経済的自立,けいざいてきじりつ,Financial Independence,<ruby>彼<rt>かれ</rt></ruby>は<ruby><strong>経済的自立</strong><rt>けいざいてきじりつ</rt></ruby>を<ruby>目指<rt>めざ</rt></ruby>して<ruby>頑張<rt>がんば</rt></ruby>っています。,He is working hard to achieve financial independence.
年金,ねんきん,Pension,<ruby>彼<rt>かれ</rt></ruby>は<ruby><strong>年金</strong><rt>ねんきん</rt></ruby>だけで<ruby>生活<rt>せいかつ</rt></ruby>していけるように<ruby>老後<rt>ろうご</rt></ruby>の<ruby>計画<rt>けいかく</rt></ruby>を立てています。,He is planning his retirement so he can live solely on his pension.
株価,かぶか,Stock Price,<ruby><strong>株価</strong><rt>かぶか</rt></ruby>の<ruby>急落<rt>きゅうらく</rt></ruby>が<ruby>投資家<rt>とうしか</rt></ruby>に<ruby>大<rt>おお</rt></ruby>きな<ruby>影響<rt>えいきょう</rt></ruby>を与えました。,The sharp drop in stock prices had a significant impact on investors.
証券,しょうけん,Securities,<ruby>彼<rt>かれ</rt></ruby>は<ruby>長期<rt>ちょうき</rt></ruby>の<ruby>資産<rt>しさん</rt></ruby><ruby>形成<rt>けいせい</rt></ruby>のために<ruby><strong>証券</strong><rt>しょうけん</rt></ruby>を<ruby>購入<rt>こうにゅう</rt></ruby>しました。,He purchased securities for long-term asset building.
配当,はいとう,Dividend,<ruby>会社<rt>かいしゃ</rt></ruby>は<ruby>業績<rt>ぎょうせき</rt></ruby>が<ruby>好調<rt>こうちょう</rt></ruby>なので、<ruby>今年<rt>ことし</rt></ruby>の<ruby><strong>配当</strong><rt>はいとう</rt></ruby>を<ruby>増<rt>ふ</rt></ruby>やすことを<ruby>決定<rt>けってい</rt></ruby>しました。,The company decided to increase dividends this year due to strong performance.
経済,けいざい,Economy,<ruby>世界<rt>せかい</rt></ruby>の<ruby><strong>経済</strong><rt>けいざい</rt></ruby>は<ruby>新興市場<rt>しんこうしじょう</rt></ruby>の<ruby>成長<rt>せいちょう</rt></ruby>によって<ruby>支<rt>ささ</rt></ruby>えられています。,The global economy is supported by the growth of emerging markets.
財産,ざいさん,Property,<ruby>彼<rt>かれ</rt></ruby>は<ruby>親<rt>おや</rt></ruby>から<ruby>受<rt>う</rt></ruby>け<ruby>継<rt>つ</rt></ruby>いだ<ruby><strong>財産</strong><rt>ざいさん</rt></ruby>を<ruby>有効<rt>ゆうこう</rt></ruby>に<ruby>活用<rt>かつよう</rt></ruby>しています。,He is effectively utilizing the property he inherited from his parents.
貸付,かしつけ,Loan,<ruby>彼<rt>かれ</rt></ruby>は<ruby>起業<rt>きぎょう</rt></ruby>のために<ruby><strong>貸付</strong><rt>かしつけ</rt></ruby>を<ruby>申請<rt>しんせい</rt></ruby>しましたが、<ruby>審査<rt>しんさ</rt></ruby>に<ruby>通<rt>とお</rt></ruby>らなかった。,He applied for a loan to start a business but did not pass the assessment.
収入,しゅうにゅう,Income,<ruby>彼<rt>かれ</rt></ruby>は<ruby>不動産<rt>ふどうさん</rt></ruby><ruby>投資<rt>とうし</rt></ruby>によって<ruby>安定<rt>あんてい</rt></ruby>した<ruby><strong>収入</strong><rt>しゅうにゅう</rt></ruby>を<ruby>得<rt>え</rt></ruby>ています。,He earns a stable income from real estate investments.
預金,よきん,Deposit,<ruby>彼<rt>かれ</rt></ruby>は<ruby>毎月<rt>まいつき</rt></ruby>の<ruby>余剰金<rt>よじょうきん</rt></ruby>を<ruby><strong>預金</strong><rt>よきん</rt></ruby><ruby>口座<rt>こうざ</rt></ruby>に<ruby>入<rt>い</rt></ruby>れています。,He deposits his monthly surplus into his savings account.
利息,りそく,Interest,<ruby>彼<rt>かれ</rt></ruby>は<ruby>銀行<rt>ぎんこう</rt></ruby>の<ruby><strong>利息</strong><rt>りそく</rt></ruby>を<ruby>比較<rt>ひかく</rt></ruby>して<ruby>最<rt>もっと</rt></ruby>も<ruby>有利<rt>ゆうり</rt></ruby>な<ruby>口座<rt>こうざ</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びました。,He compared bank interest rates and chose the most favorable account.
