上場企業,じょうじょうきぎょう,Publicly listed company,<ruby>多数<rt>たすう</rt></ruby>の<ruby>上場企業<rt>じょうじょうきぎょう</rt></ruby>は、<ruby>株主<rt>かぶぬし</rt></ruby>の<ruby>利益<rt>りえき</rt></ruby>を<ruby>最優先<rt>さいゆうせん</rt></ruby>に<ruby>考<rt>かんが</rt></ruby>える<ruby>必要<rt>ひつよう</rt></ruby>があります。,Many publicly listed companies need to prioritize the interests of their shareholders.
金融,きんゆう,Finance,<ruby>金融<rt>きんゆう</rt></ruby><ruby>市場<rt>しじょう</rt></ruby>の<ruby>変動<rt>へんどう</rt></ruby>が<ruby>経済<rt>けいざい</rt></ruby><ruby>全体<rt>ぜんたい</rt></ruby>に<ruby>与<rt>あた</rt></ruby>える<ruby>影響<rt>えいきょう</rt></ruby>は<ruby>無視<rt>むし</rt></ruby>できません。,The fluctuations in the financial market cannot be ignored when considering their impact on the overall economy.
公務員,こうむいん,Civil servant,<ruby>公務員<rt>こうむいん</rt></ruby>としての<ruby>誠実<rt>せいじつ</rt></ruby>な<ruby>働<rt>はたら</rt></ruby>きが<ruby>市民<rt>しみん</rt></ruby>の<ruby>信頼<rt>しんらい</rt></ruby>を<ruby>築<rt>きず</rt></ruby>く<ruby>鍵<rt>かぎ</rt></ruby>となります。,A civil servant's sincere work is key to building citizens' trust.
コンサル,コンサル,Consultant,<ruby>彼<rt>かれ</rt></ruby>はコンサルとして<ruby>企業<rt>きぎょう</rt></ruby>の<ruby>成長<rt>せいちょう</rt></ruby><ruby>戦略<rt>せんりゃく</rt></ruby>に<ruby>貢献<rt>こうけん</rt></ruby>しています。,He contributes to companies' growth strategies as a consultant.
経営者,けいえいしゃ,Manager/Executive,<ruby>優<rt>すぐ</rt></ruby>れた<ruby>経営者<rt>けいえいしゃ</rt></ruby>は、<ruby>常<rt>つね</rt></ruby>に<ruby>変化<rt>へんか</rt></ruby>する<ruby>市場<rt>しじょう</rt></ruby>に<ruby>適応<rt>てきおう</rt></ruby>できる<ruby>人<rt>ひと</rt></ruby>です。,A good manager is someone who can adapt to the ever-changing market.
役員,やくいん,Executive/Officer,<ruby>会社<rt>かいしゃ</rt></ruby>の<ruby>役員<rt>やくいん</rt></ruby>は<ruby>経営<rt>けいえい</rt></ruby><ruby>方針<rt>ほうしん</rt></ruby>を<ruby>決定<rt>けってい</rt></ruby>する<ruby>重要<rt>じゅうよう</rt></ruby>な<ruby>役割<rt>やくわり</rt></ruby>を<ruby>担<rt>にな</rt></ruby>っています。,The company's executives play a crucial role in determining management policies.
大手企業,おおてきぎょう,Major company,<ruby>大手企業<rt>おおてきぎょう</rt></ruby>は、<ruby>世界中<rt>せかいじゅう</rt></ruby>で<ruby>競争力<rt>きょうそうりょく</rt></ruby>を<ruby>持<rt>も</rt></ruby>つ<ruby>製品<rt>せいひん</rt></ruby>を<ruby>提供<rt>ていきょう</rt></ruby>しています。,Major companies provide competitive products worldwide.
大手外資,おおてがいし,Major foreign capital company,<ruby>大手外資<rt>おおてがいし</rt></ruby>の<ruby>参入<rt>さんにゅう</rt></ruby>が<ruby>国内市場<rt>こくないしじょう</rt></ruby>に<ruby>新<rt>あたら</rt></ruby>たな<ruby>刺激<rt>しげき</rt></ruby>を<ruby>与<rt>あた</rt></ruby>えました。,The entry of major foreign capital companies has brought new stimulus to the domestic market.
大手商社,おおてしょうしゃ,Major trading company,<ruby>大手商社<rt>おおてしょうしゃ</rt></ruby>は、<ruby>世界中<rt>せかいじゅう</rt></ruby>のネットワークを<ruby>活用<rt>かつよう</rt></ruby>してビジネスを<ruby>展開<rt>てんかい</rt></ruby>しています。,Major trading companies conduct business using their global networks.
外資金融,がいしきんゆう,Foreign finance,<ruby>外資金融<rt>がいしきんゆう</rt></ruby>の<ruby>影響力<rt>えいきょうりょく</rt></ruby>が<ruby>国内<rt>こくない</rt></ruby>の<ruby>金融政策<rt>きんゆうせいさく</rt></ruby>にも<ruby>及<rt>およ</rt></ruby>んでいます。,The influence of foreign finance extends to domestic financial policies.
医師,いし,Doctor,<ruby>医師<rt>いし</rt></ruby>は<ruby>患者<rt>かんじゃ</rt></ruby>の<ruby>健康<rt>けんこう</rt></ruby>を<ruby>守<rt>まも</rt></ruby>るために<ruby>日々<rt>ひび</rt></ruby><ruby>努力<rt>どりょく</rt></ruby>しています。,Doctors strive daily to protect the health of their patients.
看護師,かんごし,Nurse,<ruby>看護師<rt>かんごし</rt></ruby>は<ruby>患者<rt>かんじゃ</rt></ruby>の<ruby>世話<rt>せわ</rt></ruby>を<ruby>通<rt>とお</rt></ruby>して<ruby>多<rt>おお</rt></ruby>くの<ruby>笑顔<rt>えがお</rt></ruby>を<ruby>生<rt>う</rt></ruby>み<ruby>出<rt>だ</rt></ruby>します。,Nurses create many smiles by caring for patients.
薬剤師,やくざいし,Pharmacist,<ruby>薬剤師<rt>やくざいし</rt></ruby>は<ruby>薬<rt>くすり</rt></ruby>の<ruby>調合<rt>ちょうごう</rt></ruby>と<ruby>患者<rt>かんじゃ</rt></ruby>への<ruby>説明<rt>せつめい</rt></ruby>を<ruby>担当<rt>たんとう</rt></ruby>しています。,Pharmacists are responsible for preparing medications and explaining them to patients.
弁護士,べんごし,Lawyer,<ruby>弁護士<rt>べんごし</rt></ruby>は<ruby>依頼人<rt>いらいにん</rt></ruby>の<ruby>権利<rt>けんり</rt></ruby>を<ruby>守<rt>まも</rt></ruby>るために<ruby>法廷<rt>ほうてい</rt></ruby>で<ruby>戦<rt>たたか</rt></ruby>います。,Lawyers fight in court to protect their clients' rights.
公認会計士,こうにんかいけいし,Certified Public Accountant,<ruby>公認会計士<rt>こうにんかいけいし</rt></ruby>は<ruby>企業<rt>きぎょう</rt></ruby>の<ruby>財務<rt>ざいむ</rt></ruby><ruby>報告<rt>ほうこく</rt></ruby>を<ruby>正確<rt>せいかく</rt></ruby>に<ruby>監査<rt>かんさ</rt></ruby>します。,Certified Public Accountants accurately audit companies' financial reports.
