優しい,やさしい,Gentle/Kind,<ruby>彼<rt>かれ</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>にでも<ruby>優<rt>やさ</rt></ruby>しい<ruby>心<rt>こころ</rt></ruby>を<ruby>持<rt>も</rt></ruby>っています。,He has a gentle heart towards everyone.
素直,すなお,Honest/Obedient,<ruby>素直<rt>すなお</rt></ruby>な<ruby>子供<rt>こども</rt></ruby>は<ruby>大人<rt>おとな</rt></ruby>の<ruby>言<rt>い</rt></ruby>うことを<ruby>聞<rt>き</rt></ruby>きます。,An honest child listens to what adults say.
決断力がある,けつだんりょくがある,Decisive,<ruby>彼<rt>かれ</rt></ruby>は<ruby>決断力<rt>けつだんりょく</rt></ruby>があり、<ruby>難<rt>むずか</rt></ruby>しい<ruby>状況<rt>じょうきょう</rt></ruby>でも<ruby>迷<rt>まよ</rt></ruby>わず<ruby>行動<rt>こうどう</rt></ruby>します。,He is decisive and acts without hesitation even in difficult situations.
穏やか,おだやか,Calm,<ruby>穏<rt>おだ</rt></ruby>やかな<ruby>海<rt>うみ</rt></ruby>の<ruby>風景<rt>ふうけい</rt></ruby>は、<ruby>心<rt>こころ</rt></ruby>を<ruby>落ち着<rt>おちつ</rt></ruby>かせます。,The calm seascape soothes the mind.
親しみやすい,したしみやすい,Friendly/Approachable,<ruby>彼<rt>かれ</rt></ruby>は<ruby>親<rt>した</rt></ruby>しみやすい<ruby>性格<rt>せいかく</rt></ruby>で、<ruby>多<rt>おお</rt></ruby>くの<ruby>友人<rt>ゆうじん</rt></ruby>がいます。,"He is friendly and approachable, with many friends."
明るい,あかるい,Cheerful/Bright,<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>明<rt>あか</rt></ruby>るい<ruby>笑顔<rt>えがお</rt></ruby>が<ruby>周<rt>まわ</rt></ruby>りの<ruby>人<rt>ひと</rt></ruby>を<ruby>元気<rt>げんき</rt></ruby>にします。,Her bright smile energizes those around her.
インドア,インドア,Indoor,<ruby>彼<rt>かれ</rt></ruby>はインドアな<ruby>趣味<rt>しゅみ</rt></ruby>が<ruby>多<rt>おお</rt></ruby>く、<ruby>読書<rt>どくしょ</rt></ruby>や<ruby>映画鑑賞<rt>えいがかんしょう</rt></ruby>が<ruby>好<rt>す</rt></ruby>きです。,He has many indoor hobbies and enjoys reading and watching movies.
アウトドア,アウトドア,Outdoor,<ruby>彼女<rt>かのじょ</rt></ruby>はアウトドアが<ruby>好<rt>す</rt></ruby>きで、<ruby>週末<rt>しゅうまつ</rt></ruby>はよくキャンプに<ruby>出<rt>で</rt></ruby>かけます。,She loves the outdoors and often goes camping on weekends.
真面目,まじめ,Serious/Diligent,<ruby>彼<rt>かれ</rt></ruby>は<ruby>真面目<rt>まじめ</rt></ruby>な<ruby>学生<rt>がくせい</rt></ruby>で、いつも<ruby>宿題<rt>しゅくだい</rt></ruby>を<ruby>忘<rt>わす</rt></ruby>れません。,He is a serious student and never forgets his homework.
知的,ちてき,Intellectual,<ruby>彼<rt>かれ</rt></ruby>は<ruby>知的<rt>ちてき</rt></ruby>な<ruby>話題<rt>わだい</rt></ruby>で<ruby>会話<rt>かいわ</rt></ruby>を<ruby>盛り上<rt>もりあ</rt></ruby>げます。,He enhances conversations with intellectual topics.
誠実,せいじつ,Sincere,<ruby>彼<rt>かれ</rt></ruby>は<ruby>誠実<rt>せいじつ</rt></ruby>な<ruby>人柄<rt>ひとがら</rt></ruby>で、<ruby>信頼<rt>しんらい</rt></ruby>されています。,He is sincere and trusted by others.
几帳面,きちょうめん,Meticulous,<ruby>几帳面<rt>きちょうめん</rt></ruby>な<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>をいつも<ruby>整<rt>ととの</rt></ruby>えています。,She is meticulous and always keeps her desk organized.
楽観的,らっかんてき,Optimistic,<ruby>彼<rt>かれ</rt></ruby>は<ruby>楽観的<rt>らっかんてき</rt></ruby>で、どんな<ruby>状況<rt>じょうきょう</rt></ruby>でも<ruby>前向<rt>まえむ</rt></ruby>きに<ruby>考<rt>かんが</rt></ruby>えます。,He is optimistic and thinks positively in any situation.
照れ屋,てれや,Shy,<ruby>彼<rt>かれ</rt></ruby>は<ruby>照れ屋<rt>てれや</rt></ruby>で、<ruby>褒<rt>ほ</rt></ruby>められると<ruby>顔<rt>かお</rt></ruby>が<ruby>赤<rt>あか</rt></ruby>くなります。,He is shy and blushes when praised.
いつも笑顔,いつもえがお,Always smiling,<ruby>彼女<rt>かのじょ</rt></ruby>はいつも<ruby>笑顔<rt>えがお</rt></ruby>で、<ruby>周<rt>まわ</rt></ruby>りの<ruby>人<rt>ひと</rt></ruby>を<ruby>明<rt>あか</rt></ruby>るくします。,She is always smiling and brightens up those around her.
上品,じょうひん,Elegant,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>上品<rt>じょうひん</rt></ruby>な<ruby>振る舞<rt>ふるま</rt></ruby>いで<ruby>皆<rt>みな</rt></ruby>に<ruby>感銘<rt>かんめい</rt></ruby>を<ruby>与<rt>あた</rt></ruby>えます。,She impresses everyone with her elegant demeanor.
落ち着いている,おちついている,Calm,<ruby>彼<rt>かれ</rt></ruby>は<ruby>落<rt>お</rt></ruby>ち<ruby>着<rt>つ</rt></ruby>いているので、<ruby>緊急<rt>きんきゅう</rt></ruby>の<ruby>時<rt>とき</rt></ruby>でも<ruby>冷静<rt>れいせい</rt></ruby>に<ruby>対処<rt>たいしょ</rt></ruby>できます。,He is calm and can handle emergencies coolly.
謙虚,けんきょ,Humble,<ruby>彼<rt>かれ</rt></ruby>は<ruby>謙虚<rt>けんきょ</rt></ruby>で、<ruby>成功<rt>せいこう</rt></ruby>しても<ruby>驕<rt>おご</rt></ruby>りません。,He is humble and does not become arrogant even when successful.
厳格,げんかく,Strict,<ruby>彼<rt>かれ</rt></ruby>は<ruby>厳格<rt>げんかく</rt></ruby>な<ruby>教育<rt>きょういく</rt></ruby>を<ruby>受<rt>う</rt></ruby>けて<ruby>育<rt>そだ</rt></ruby>ちました。,He was raised with a strict education.
思いやりがある,おもいやりがある,Compassionate,<ruby>彼<rt>かれ</rt></ruby>は<ruby>思<rt>おも</rt></ruby>いやりがあり、<ruby>困<rt>こま</rt></ruby>っている<ruby>人<rt>ひと</rt></ruby>を<ruby>助<rt>たす</rt></ruby>けます。,He is compassionate and helps those in need.
寂しがり,さびしがり,Lonely,<ruby>彼<rt>かれ</rt></ruby>は<ruby>寂<rt>さび</rt></ruby>しがりで、<ruby>友達<rt>ともだち</rt></ruby>と<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>過<rt>す</rt></ruby>ごすのが<ruby>好<rt>す</rt></ruby>きです。,He is lonely and likes spending time with friends.
社交的,しゃこうてき,Sociable,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>社交的<rt>しゃこうてき</rt></ruby>で、<ruby>新<rt>あたら</rt></ruby>しい<ruby>人<rt>ひと</rt></ruby>と<ruby>出会<rt>であ</rt></ruby>うのが<ruby>得意<rt>とくい</rt></ruby>です。,She is sociable and excels at meeting new people.
冷静沈着,れいせいちんちゃく,Calm and composed,<ruby>彼<rt>かれ</rt></ruby>は<ruby>冷静沈着<rt>れいせいちんちゃく</rt></ruby>で、<ruby>緊急<rt>きんきゅう</rt></ruby>の<ruby>場面<rt>ばめん</rt></ruby>でも<ruby>動揺<rt>どうよう</rt></ruby>しません。,"He is calm and composed, and does not get agitated in emergencies."
好奇心旺盛,こうきしんおうせい,Curious,<ruby>彼<rt>かれ</rt></ruby>は<ruby>好奇心旺盛<rt>こうきしんおうせい</rt></ruby>で、<ruby>新<rt>あたら</rt></ruby>しい<ruby>こと<rt></rt></ruby>を<ruby>学<rt>まな</rt></ruby>ぶのが<ruby>好<rt>す</rt></ruby>きです。,He is curious and loves learning new things.
家庭的,かていてき,Homely/Family-oriented,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>家庭的<rt>かていてき</rt></ruby>で、<ruby>料理<rt>りょうり</rt></ruby>や<ruby>家事<rt>かじ</rt></ruby>が<ruby>得意<rt>とくい</rt></ruby>です。,She is family-oriented and good at cooking and housework.
仕事好き,しごとずき,Work-loving,<ruby>彼<rt>かれ</rt></ruby>は<ruby>仕事好き<rt>しごとずき</rt></ruby>で、<ruby>毎日<rt>まいにち</rt></ruby><ruby>遅<rt>おそ</rt></ruby>くまで<ruby>働<rt>はたら</rt></ruby>いています。,He loves working and stays late every day.
責任感がある,せきにんかんがある,Responsible,<ruby>彼<rt>かれ</rt></ruby>は<ruby>責任感<rt>せきにんかん</rt></ruby>があり、<ruby>任<rt>まか</rt></ruby>された<ruby>仕事<rt>しごと</rt></ruby>を<ruby>最後<rt>さいご</rt></ruby>までやり<ruby>遂<rt>と</rt></ruby>げます。,He is responsible and sees tasks through to the end.
面倒見が良い,めんどうみがいい,Caring,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>面倒見<rt>めんどうみ</rt></ruby>が<ruby>良<rt>よ</rt></ruby>く、<ruby>後輩<rt>こうはい</rt></ruby>から<ruby>慕<rt>した</rt></ruby>われています。,She is caring and admired by her juniors.
話し上手,はなしじょうず,Good at talking,<ruby>彼<rt>かれ</rt></ruby>は<ruby>話し上手<rt>はなしじょうず</rt></ruby>で、<ruby>皆<rt>みな</rt></ruby>を<ruby>楽し<rt>たの</rt></ruby>ませます。,He is good at talking and entertains everyone.
聞き上手,ききじょうず,Good listener,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>聞き上手<rt>ききじょうず</rt></ruby>で、<ruby>友達<rt>ともだち</rt></ruby>の<ruby>相談<rt>そうだん</rt></ruby>に<ruby>乗<rt>の</rt></ruby>ります。,She is a good listener and offers advice to her friends.
さわやか,さわやか,Refreshing,<ruby>彼<rt>かれ</rt></ruby>はさわやかな<ruby>声<rt>こえ</rt></ruby>で、<ruby>朝<rt>あさ</rt></ruby>から<ruby>元気<rt>げんき</rt></ruby>を<ruby>与<rt>あた</rt></ruby>えてくれます。,He has a refreshing voice that energizes us in the morning.
行動的,こうどうてき,Active,<ruby>彼<rt>かれ</rt></ruby>は<ruby>行動的<rt>こうどうてき</rt></ruby>で、<ruby>新<rt>あたら</rt></ruby>しい<ruby>挑戦<rt>ちょうせん</rt></ruby>を<ruby>恐<rt>おそ</rt></ruby>れません。,He is active and does not fear new challenges.
合理的,ごうりてき,Rational,<ruby>彼<rt>かれ</rt></ruby>は<ruby>合理的<rt>ごうりてき</rt></ruby>な<ruby>考<rt>かんが</rt></ruby>えで<ruby>問題<rt>もんだい</rt></ruby>を<ruby>解決<rt>かいけつ</rt></ruby>します。,He solves problems with rational thinking.
負けず嫌い,まけずぎらい,Competitive,<ruby>彼<rt>かれ</rt></ruby>は<ruby>負けず嫌<rt>まけずぎら</rt></ruby>いで、<ruby>試合<rt>しあい</rt></ruby>では<ruby>全力<rt>ぜんりょく</rt></ruby>を<ruby>尽<rt>つ</rt></ruby>くします。,He is competitive and gives his all in matches.
面白い,おもしろい,Interesting/Funny,<ruby>彼<rt>かれ</rt></ruby>の<ruby>話<rt>はなし</rt></ruby>は<ruby>面白<rt>おもしろ</rt></ruby>く、<ruby>皆<rt>みな</rt></ruby>を<ruby>笑<rt>わら</rt></ruby>わせます。,His stories are interesting and make everyone laugh.
熱い,あつい,Passionate,<ruby>彼<rt>かれ</rt></ruby>は<ruby>熱<rt>あつ</rt></ruby>い<ruby>思<rt>おも</rt></ruby>いを<ruby>胸<rt>むね</rt></ruby>に、<ruby>夢<rt>ゆめ</rt></ruby>を<ruby>追<rt>お</rt></ruby>いかけています。,He is pursuing his dreams with passionate feelings.
