不動産,ふどうさん,Real estate,<ruby>不動産<rt>ふどうさん</rt></ruby><ruby>業界<rt>ぎょうかい</rt></ruby>は今、<ruby>景気<rt>けいき</rt></ruby>が<ruby>良<rt>よ</rt></ruby>いです。,The real estate industry is currently doing well.
賃貸,ちんたい,Rent/lease,この<ruby>賃貸<rt>ちんたい</rt></ruby>マンションは<ruby>最先端<rt>さいせんたん</rt></ruby>の<ruby>設備<rt>せつび</rt></ruby>と<ruby>都心<rt>としん</rt></ruby>へのアクセスが<ruby>良好<rt>りょうこう</rt></ruby>で、ビジネスパーソンに<ruby>人気<rt>にんき</rt></ruby>があります。,This rental apartment is popular among business people for its state-of-the-art facilities and good access to the city center.
賃貸契約,ちんたいけいやく,Rental agreement/lease contract,<ruby>賃貸<rt>ちんたい</rt></ruby><ruby>契約<rt>けいやく</rt></ruby>を<ruby>更新<rt>こうしん</rt></ruby>する<ruby>必要<rt>ひつよう</rt></ruby>があります。,I need to renew my rental agreement.
物件,ぶっけん,Property,その<ruby>物件<rt>ぶっけん</rt></ruby>は<ruby>駅<rt>えき</rt></ruby>から<ruby>近<rt>ちか</rt></ruby>いです。,That property is close to the station.
アパート,アパート,Apartment,<ruby>新<rt>あたら</rt><ruby>しいアパートに<ruby>引<rt>ひ</rt></ruby>っ<ruby>越<rt>こ</rt></ruby>しました。,I moved into a new apartment.
マンション,マンション,Condominium/Apartment building,<ruby>彼<rt>かれ</rt></ruby>は<ruby>都心<rt>としん</rt></ruby>のマンションに<ruby>住<rt>す</rt></ruby>んでいます。,He lives in a condominium in the city center.
一戸建て,いっこだて,Detached house,<ruby>家族<rt>かぞく</rt></ruby>で<ruby>一戸建<rt>いっこだて</rt></ruby>てを<ruby>購入<rt>こうにゅう</rt></ruby>しました。,We bought a detached house with my family.
部屋,へや,Room,この<ruby>部屋<rt>へや</rt></ruby>はとても<ruby>広<rt>ひろ</rt></ruby>いです。,This room is very spacious.
家賃,やちん,Rent,<ruby>家賃<rt>やちん</rt></ruby>は<ruby>毎月<rt>まいつき</rt></ruby><ruby>初<rt>はじ</rt></ruby>めに<ruby>支払<rt>しはら</rt></ruby>います。,Rent is paid at the beginning of each month.
礼金,れいきん,Key money,この<ruby>物件<rt>ぶっけん</rt></ruby>は<ruby>礼金<rt>れいきん</rt></ruby>が<ruby>不要<rt>ふよう</rt></ruby>です。,This property does not require key money.
敷金,しききん,Security deposit,アパートを<ruby>借<rt>か</rt></ruby>りる<ruby>際<rt>さい</rt></ruby>には<ruby>敷金<rt>しききん</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>です。,A security deposit is required when renting an apartment.
管理費,かんりひ,Maintenance fee,<ruby>毎月<rt>まいつき</rt></ruby>の<ruby>管理費<rt>かんりひ</rt></ruby>は<ruby>高<rt>たか</rt></ruby>くありません。,The monthly maintenance fee is not expensive.
共益費,きょうえきひ,Common service fee,<ruby>共益費<rt>きょうえきひ</rt></ruby>にはエレベーターの<ruby>費用<rt>ひよう</rt></ruby>が<ruby>含<rt>ふく</rt></ruby>まれています。,The common service fee includes the cost of the elevator.
仲介手数料,ちゅうかいてすうりょう,Agency fee,<ruby>新<rt>あたら</rt></ruby>しい<ruby>部屋<rt>へや</rt></ruby>を<ruby>探<rt>さが</rt></ruby>すのに<ruby>仲介手数料<rt>ちゅうかいてすうりょう</rt></ruby>がかかります。,An agency fee is charged for finding a new room.
更新料,こうしんりょう,Renewal fee,<ruby>契約<rt>けいやく</rt></ruby><ruby>更新<rt>こうしん</rt></ruby>の<ruby>際<rt>さい</rt></ruby>には<ruby>更新料<rt>こうしんりょう</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>です。,A renewal fee is required when renewing the contract.
入居日,にゅうきょび,Move-in date,<ruby>入居日<rt>にゅうきょび</rt></ruby>は<ruby>来月<rt>らいげつ</rt></ruby>の<ruby>一日<rt>ついたち</rt></ruby>です。,The move-in date is the first of next month.
退去,たいきょ,Move-out,<ruby>退去<rt>たいきょ</rt></ruby>は<ruby>事前<rt>じぜん</rt></ruby>に<ruby>通知<rt>つうち</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>です。,Advance notice is required for moving out.
住民票,じゅうみんひょう,Certificate of residence,<ruby>住民票<rt>じゅうみんひょう</rt></ruby>を<ruby>市役所<rt>しやくしょ</rt></ruby>で<ruby>取得<rt>しゅとく</rt></ruby>しました。,I obtained my certificate of residence at the city hall.
間取り,まどり,Floor plan/layout,このアパートの<ruby>間取<rt>まど</rt></ruby>りはとても<ruby>便利<rt>べんり</rt></ruby>です。,The floor plan of this apartment is very convenient.
築年数,ちくねんすう,Age of a building,このビル</ruby>の<ruby>築年数<rt>ちくねんすう</rt></ruby>は<ruby>10年<rt>じゅうねん</rt></ruby>です。,The age of this building is 10 years.
日当たり,ひあたり,Sun exposure,<ruby>私<rt>わたし</rt></ruby>の<ruby>部屋<rt>へや</rt></ruby>は<ruby>日当<rt>ひあ</rt></ruby>たりが<ruby>良<rt>よ</rt></ruby>いです。,My room has good sun exposure.
駐車場,ちゅうしゃじょう,Parking lot,このマンションには<ruby>専用<rt>せんよう</rt></ruby><ruby>駐車場<rt>ちゅうしゃじょう</rt></ruby>があります。,This apartment building has a private parking lot.
ペット可,ぺっとか,Pets-allowed,この<ruby>物件<rt>ぶっけん</rt></ruby>はペット<ruby>可<rt>か</rt></ruby>です。,This property allows pets.
近隣,きんりん,Neighborhood,<ruby>近隣<rt>きんりん</rt></ruby>にはスーパーや<ruby>学校<rt>がっこう</rt></ruby>があります。,There are supermarkets and schools in the neighborhood.
大家,おおや,Landlord,この<ruby>地区<rt>ちく</rt></ruby>では、<ruby>大家<rt>おおや</rt></ruby>さんが<ruby>地域<rt>ちいき</rt></ruby>の<ruby>清掃<rt>せいそう</rt></ruby><ruby>活動<rt>かつどう</rt></ruby>を<ruby>積極的<rt>せっきょくてき</rt></ruby>に<ruby>推進<rt>すいしん</rt></ruby>しています。,"In this area, the landlords are actively promoting neighborhood clean-up activities."
入居者,にゅうきょしゃ,Tenant,<ruby>新<rt>あたら</rt></ruby>しい<ruby>入居者<rt>にゅうきょしゃ</rt></ruby>が<ruby>今月<rt>こんげつ</rt></ruby>から<ruby>住<rt>す</rt></ruby>み<ruby>始<rt>はじ</rt></ruby>めます。,The new tenant will start living here from this month.
空室,くうしつ,Vacant room,この<ruby>ビル<rt>びる</rt></ruby>には<ruby>幾<rt>いく</rt></ruby>つか<ruby>空室<rt>くうしつ</rt></ruby>があります。,There are several vacant rooms in this building.
管理会社,かんりがいしゃ,Management company,<ruby>管理会社<rt>かんりがいしゃ</rt></ruby>が<ruby>建物<rt>たてもの</rt></ruby>の<ruby>メンテナンス<rt>めんてなんす</rt></ruby>を<ruby>行<rt>おこな</rt></ruby>います。,The management company handles the maintenance of the building.
契約期間,けいやくきかん,Contract period,<ruby>契約<rt>けいやく</rt></ruby><ruby>期間<rt>きかん</rt></ruby>は<ruby>2年間<rt>にねんかん</rt></ruby>です。,The contract period is two years.
住宅ローン,じゅうたくローン,Mortgage,<ruby>住宅<rt>じゅうたく</rt></ruby><ruby>ローン<rt>ろーん</rt></ruby>を<ruby>組<rt>く</rt></ruby>んで<ruby>家<rt>いえ</rt></ruby>を<ruby>買<rt>か</rt></ruby>いました。,I bought a house with a mortgage.
物件情報,ぶっけんじょうほう,Property information,<ruby>不動産<rt>ふどうさん</rt></ruby><ruby>サイト<rt>さいと</rt></ruby>で<ruby>物件<rt>ぶっけん</rt></ruby><ruby>情報<rt>じょうほう</rt></ruby>を<ruby>確認<rt>かくにん</rt></ruby>しました。,I checked the property information on the real estate website.
内見,ないけん,Property viewing/inspection,<ruby>明日<rt>あした</rt></ruby>、アパートの<ruby>内見<rt>ないけん</rt></ruby>に<ruby>行<rt>い</rt></ruby>きます。,I will go view the apartment tomorrow.
即入居,そくにゅうきょ,Available immediately,この<ruby>部屋<rt>へや</rt></ruby>は<ruby>即<rt>そく</rt></ruby><ruby>入居<rt>にゅうきょ</rt></ruby><ruby>可能<rt>かのう</rt></ruby>です。,This room is available immediately.
新築,しんちく,Newly built,<ruby>新築<rt>しんちく</rt></ruby>の<ruby>住宅<rt>じゅうたく</rt></ruby>には、<ruby>最新<rt>さいしん</rt></ruby>のエコフレンドリーな<ruby>技術<rt>ぎじゅつ</rt></ruby>が<ruby>導入<rt>どうにゅう</rt></ruby>され、<ruby>住<rt>す</rt></ruby>む<ruby>人<rt>ひと</rt></ruby>の<ruby>生活<rt>せいかつ</rt></ruby>をより<ruby>快適<rt>かいてき</rt></ruby>にしています。,"The newly constructed houses incorporate the latest eco-friendly technologies, making life more comfortable for residents."
中古,ちゅうこ,Pre-owned,この<ruby>中古<rt>ちゅうこ</rt></ruby>の<ruby>家<rt>いえ</rt></ruby>は、リフォーム<ruby>済<rt>ず</rt></ruby>みで<ruby>新築<rt>しんちく</rt></ruby><ruby>同様<rt>どうよう</rt></ruby>の<ruby>品質<rt>ひんしつ</rt></ruby>を<ruby>備<rt>そな</rt></ruby>えています。,This second-hand house has been renovated and offers quality comparable to a new build.
