人口減少,じんこうげんしょう,population decline,<ruby><rb>この地域</rb><rt>このちいき</rt></ruby>の<ruby><rb>人口減少</rb><rt>じんこうげんしょう</rt></ruby>は、<ruby><rb>経済活動</rb><rt>けいざいかつどう</rt></ruby>に<ruby><rb>深刻</rb><rt>しんこく</rt></ruby>な<ruby><rb>影響</rb><rt>えいきょう</rt></ruby>を<ruby><rb>与</rb><rt>あた</rt></ruby>えています。,The population decline in this area is having a serious impact on economic activity.
少子化,しょうしか,declining birth rate,<ruby><rb>少子化</rb><rt>しょうしか</rt></ruby>に<ruby><rb>対処</rb><rt>たいしょ</rt></ruby>する<ruby><rb>ため</rb><rt>ため</rt></ruby>の<ruby><rb>政策</rb><rt>せいさく</rt></ruby>が<ruby><rb>急務</rb><rt>きゅうむ</rt></ruby>である。,Policies to address the declining birth rate are urgently needed.
高齢化,こうれいか,aging of the population,<ruby><rb>高齢化社会</rb><rt>こうれいかしゃかい</rt></ruby>の<ruby><rb>到来</rb><rt>とうらい</rt></ruby>に<ruby><rb>伴</rb><rt>ともな</rt></ruby>い、<ruby><rb>医療制度</rb><rt>いりょうせいど</rt></ruby>の<ruby><rb>改革</rb><rt>かいかく</rt></ruby>が<ruby><rb>必要</rb><rt>ひつよう</rt></ruby>だ。,"With the advent of an aging society, reform of the medical system is necessary."
労働力不足,ろうどうりょくぶそく,labor shortage,<ruby><rb>労働力不足</rb><rt>ろうどうりょくふそく</rt></ruby>が<ruby><rb>中小企業</rb><rt>ちゅうしょうきぎょう</rt></ruby>の<ruby><rb>経営</rb><rt>けいえい</rt></ruby>を<ruby><rb>圧迫</rb><rt>あっぱく</rt></ruby>している。,The labor shortage is putting pressure on the management of small and medium-sized enterprises.
出生率,しゅっしょうりつ,birth rate,<ruby><rb>出生率</rb><rt>しゅっしょうりつ</rt></ruby>の<ruby><rb>低下</rb><rt>ていか</rt></ruby>が<ruby><rb>続</rb><rt>つづ</rt></ruby>くと、<ruby><rb>将来的</rb><rt>しょうらいてき</rt></ruby>な<ruby><rb>社会保障</rb><rt>しゃかいほしょう</rt></ruby>の<ruby><rb>維持</rb><rt>いじ</rt></ruby>が<ruby><rb>困難</rb><rt>こんなん</rt></ruby>になる。,"If the birth rate continues to decline, it will be difficult to sustain future social security."
地方消滅,ちほうしょうめつ,disappearance of rural areas,<ruby><rb>地方消滅</rb><rt>ちほうしょうめつ</rt></ruby>の<ruby><rb>危機</rb><rt>きき</rt></ruby>が<ruby><rb>叫</rb><rt>さけ</rt></ruby>ばれる<ruby><rb>中</rb><rt>なか</rt></ruby>、<ruby><rb>地域振興策</rb><rt>ちいきしんこうさく</rt></ruby>が<ruby><rb>求</rb><rt>もと</rt></ruby>められている。,"Amid cries of the crisis of rural areas disappearing, there is a demand for regional revitalization strategies."
都市集中,とししゅうちゅう,urban concentration,<ruby><rb>都市集中</rb><rt>とししゅうちゅう</rt></ruby>の<ruby><rb>進行</rb><rt>しんこう</rt></ruby>により、<ruby><rb>地方</rb><rt>ちほう</rt></ruby>の<ruby><rb>活力</rb><rt>かつりょく</rt></ruby>が<ruby><rb>失</rb><rt>うしな</rt></ruby>われつつある。,"As urban concentration advances, the vitality of rural areas is gradually being lost."
社会保障費,しゃかいほしょうひ,social security costs,<ruby><rb>人口減少</rb><rt>じんこうげんしょう</rt></ruby>により、<ruby><rb>社会保障費</rb><rt>しゃかいほしょうひ</rt></ruby>の<ruby><rb>負担</rb><rt>ふたん</rt></ruby>が<ruby><rb>増大</rb><rt>ぞうだい</rt></ruby>している。,"Due to population decline, the burden of social security costs is increasing."
未婚化,みこんか,increasing number of unmarried people,<ruby><rb>未婚化</rb><rt>みこんか</rt></ruby>の<ruby><rb>傾向</rb><rt>けいこう</rt></ruby>は、<ruby><rb>人口減少</rb><rt>じんこうげんしょう</rt></ruby>の<ruby><rb>一因</rb><rt>いちいん</rt></ruby>となっています。,The trend of increasing numbers of unmarried people is one cause of population decline.
地域活性化,ちいきかっせいか,regional revitalization,<ruby><rb>地域活性化</rb><rt>ちいきかっせいか</rt></ruby>のためには、<ruby><rb>若者</rb><rt>わかもの</rt></ruby>の<ruby><rb>定住</rb><rt>ていじゅう</rt></ruby>を<ruby><rb>促</rb><rt>うなが</rt></ruby>す<ruby><rb>政策</rb><rt>せいさく</rt></ruby>が<ruby><rb>不可欠</rb><rt>ふかけつ</rt></ruby>だ。,"For regional revitalization, policies that encourage young people to settle in the area are essential."
